final_id,comment_id,platform,source_name,comment_text,date,likesCount,Topic_REVIEWED,sentiment,intent,raw_text
115,21162,tiktok,@triple_,oui comme ma mère,2026-01-02T18:22:02.778831,0,,,,oui comme ma mère 😁
116,32224,tiktok,@le_carre_restaurant,Soon i will come i have a date there And it’s for 17 september inshallah,2026-01-02T19:14:51.260337,1,,,,Soon i will come i have a date there And it’s for 17 september inshallah 💙
117,8348,Google Maps,American Burger Factory,Tres Bon service,2024-05-14T19:53:45.793Z,0,"food,service",,,Tres Bon service
118,64068,tiktok,@restauranttrattoriaoran,J y suis allé sans plus,2026-01-02T21:34:08.809247,0,,,,J y suis allé sans plus
119,68890,tiktok,@cote_oran,c un délice merci moustapha,2026-01-02T21:57:36.689116,2,,,,c un délice merci moustapha
120,51746,tiktok,@quick_bite,إشهار يديرلك انهيار  ربي يعينك ليزوم  [ENDROIT],2026-01-02T21:01:58.708699,2,,,,إشهار يديرلك انهيار 😂✨ ربي يعينك ليزوم ❤️
121,73672,tiktok,@pont_hydra,لازم تهدر بالفرنسية باش تاكلو ويكون قبايلي لي مطيبو [INTENSE]  سينون مادرنا والو,2026-01-02T22:14:01.029699,0,,,,لازم تهدر بالفرنسية باش تاكلو ويكون قبايلي لي مطيبو.... سينون مادرنا والو
122,33526,tiktok,@ambiancefood,mon restaurant préféré allah yberk,2026-01-02T19:21:18.269192,0,,,,mon restaurant préféré allah yberk
123,12521,Facebook,Restaurant Rais,مطعم الرايس - Restaurant Rais نقدرو نخلصو بكارت فيزا ؟,2025-10-27T12:52:54.000Z,0,unknown,,,مطعم الرايس - Restaurant Rais نقدرو نخلصو بكارت فيزا ؟
124,61338,tiktok,@la.criee,wooow vraiment magnifique en fin dima nesena fikom tebdaw habit njareb nchalah merbouha sa ce voit la classe et le calme et surtout la propreté bonne continuation,2026-01-02T21:24:48.197705,2,,,,wooow vraiment magnifique en fin dima nesena fikom tebdaw habit njareb nchalah merbouha sa ce voit la classe et le calme et surtout la propreté bonne continuation 😍
125,15752,tiktok,@mardoum,يا خويا اعرضني من تمنراست نجيبك,2026-01-02T18:07:55.358153,0,,,,يا خويا اعرضني من تمنراست نجيبك
126,42988,tiktok,@minoufood1,مشاء الله ربي يوفقكم,2026-01-02T20:01:57.821421,1,,,,مشاء الله ربي يوفقكم ✌
127,62790,tiktok,@allechante,هدا لي قتلك عليه,2026-01-02T21:30:57.321140,1,,,,@Aya❤️هدا لي قتلك عليه
128,33338,tiktok,@ambiancefood,ou exactement a oran,2026-01-02T19:21:14.858934,1,,,,ou exactement a oran
129,56790,tiktok,@lucia_annaba,انشاء الله معا لافام نقعد تما,2026-01-02T21:16:23.141787,0,,,,انشاء الله معا لافام نقعد تما
130,12779,Facebook,Restaurant Rais,هذا تع الإشهار (لامسو),2025-10-14T20:40:39.000Z,0,unknown,,,هذا تع الإشهار (لامسو)
131,50990,tiktok,@broaster_chiken,ما شاء الله,2026-01-02T20:59:48.842387,0,,,,ما شاء الله ❤️❤️
132,1955,instagram,sushigardendz,خاوتي نديرو لمة نعاونو خونا كريستيانو,2025-08-26T18:18:34.000Z,84,unknown,,,خاوتي نديرو لمة نعاونو خونا كريستيانو 😂
133,24876,tiktok,@woodgrill_dz,سلام تفتحوا على 12,2026-01-02T18:32:01.234922,0,,,,سلام تفتحوا على 12
134,21564,tiktok,@triple_,mais ton restaurant est vide c'est très famille  [INTENSE]  ta tout mangé ?,2026-01-02T18:22:13.020132,0,,,,mais ton restaurant est vide c'est très famille ?? ta tout mangé ?
135,21788,tiktok,@maison_sardoudi,t'as un bon appétit,2026-01-02T18:22:31.840454,0,,,,t'as un bon appétit 🥰
136,62654,tiktok,@allechante,يخدمو بالتقسيط؟,2026-01-02T21:30:54.049928,0,,,,يخدمو بالتقسيط؟
137,3237,Google Maps,تاج محل بن عكنون,J'ai retrouvée les saveurs que j ai goûter en Inde .,2019-10-02T06:08:42.598Z,1,unknown,,,J'ai retrouvée les saveurs que j ai goûter en Inde .
138,47986,tiktok,@rahmani_food,صراحة أحسن شورما بالتجربة ،و السعر في متناول الجميع,2026-01-02T20:34:21.487331,1,,,,صراحة أحسن شورما بالتجربة ،و السعر في متناول الجميع
139,38716,tiktok,@kfc,انا باطل وماناكلش كل حاجة تاع اسرائيل حبستها,2026-01-02T19:39:50.998452,0,,,,انا باطل وماناكلش كل حاجة تاع اسرائيل حبستها
140,5610,Google Maps,قصبة اسطنبول,Un endroit digne de la classe turque très sympa et agréable  [INTENSE]  Serveurs au grand sourire  [INTENSE]  La bouffe est très bonne,2019-10-12T14:01:12.803Z,4,"food,treatment,place",,,Un endroit digne de la classe turque très sympa et agréable ... Serveurs au grand sourire ... La bouffe est très bonne
141,16392,tiktok,@soltane.el.kababe,السنوار :: 1. ربي اني لما انزلت الي من خير فقير 2. ربي اني مغلوب فأنتصر 3.ربي لا تذرني فردا وانت خير الوارثين 4 .لا حول ولا قوة الا بالله العلي العظيم 5 . لا اله الا انت سبحانك اني كنت من الظالمين 6.يا حي يا قيوم برحمتك استغيث اصلح لي شاني كله ولا تكلني إلى نفسي طرفة عين.،الحمدلله رب العالمين الله الله الله اكبر يارب ياكريم-,2026-01-02T18:08:23.862099,0,,,,@عيادة السنوار :🏅: 1. ربي اني لما انزلت الي من خير فقير 2. ربي اني مغلوب فأنتصر 3.ربي لا تذرني فردا وانت خير الوارثين 4 .لا حول ولا قوة الا بالله العلي العظيم 5 . لا اله الا انت سبحانك اني كنت من الظالمين 6.يا حي يا قيوم برحمتك استغيث اصلح لي شاني كله ولا تكلني إلى نفسي طرفة عين.✔️،الحمدلله رب العالمين الله الله الله اكبر يارب ياكريم-
142,27472,tiktok,@thala,Chapeau bas pour le travail et merci.,2026-01-02T18:44:48.001867,0,,,,Chapeau bas pour le travail et merci.
143,72308,tiktok,@pont_hydra,عجبني صحن,2026-01-02T22:13:20.298214,1,,,,عجبني صحن🥰🥰🥰
144,4206,Google Maps,هشام كوك بيتزا,طول الانتظار وحرارة الاسعار ..,2024-09-10T11:03:31.239Z,0,unknown,,,طول الانتظار وحرارة الاسعار ..
145,68710,tiktok,@cote_oran,بصحتك مصطفى بلا حدود وبالتوفيق للمطعم,2026-01-02T21:57:32.413689,8,,,,بصحتك مصطفى بلا حدود وبالتوفيق للمطعم
146,50942,tiktok,@broaster_chiken,خويا ربي يحفضك كي تروح اتجرب ،جرب و قول الحق ديما كلش مليح ڨلبتي عنابة كاملة الماكلة فيها ملاحة,2026-01-02T20:59:47.306545,0,,,,خويا ربي يحفضك كي تروح اتجرب ،جرب و قول الحق ديما كلش مليح ڨلبتي عنابة كاملة الماكلة فيها ملاحة
147,24878,tiktok,@woodgrill_dz,كاين توصيل؟؟,2026-01-02T18:32:01.234924,0,,,,كاين توصيل؟؟
148,37886,tiktok,@kfc,Hada kfc algérien % algérien quima starbukss,2026-01-02T19:39:22.958437,1,,,,Hada kfc algérien 💯% algérien quima starbukss
149,44500,tiktok,@dzforestrestaurants,هذا سعر صح في المعقول بالنسبة لي الناس لي تاكل الشواء,2026-01-02T20:11:55.384145,0,,,,هذا سعر صح في المعقول بالنسبة لي الناس لي تاكل الشواء
150,41564,tiktok,@street_food,الحمد الله نخدمو بنين ف الدر,2026-01-02T19:57:46.733826,2,,,,الحمد الله نخدمو بنين ف الدر
